Combination	Total	TP	TN	FP	FN	Recall	FPR	Precision	F1score	Balanced_accuracy
micfunpred_0.9_97	914	243	7505	671	246	49.693251533742334	8.206947162426614	26.58643326039387	34.64005702066999	61.706324616263245
micfunpred_0.9_96	930	234	7481	696	237	49.681528662420384	8.511679099914394	25.161290322580644	33.404710920770874	61.04527330329602
micfunpred_0.6_75	1426	320	7078	1106	323	49.766718506998444	13.514173998044965	22.44039270687237	30.932817786370226	59.03805880445632
micfunpred_0.7_75	1340	315	7158	1025	318	49.763033175355446	12.525968471220825	23.507462686567166	31.931069437404965	59.62692556479241
micfunpred_0.6_97	998	236	7417	762	239	49.684210526315795	9.316542364592248	23.647294589178355	32.04344874405974	60.26278000096327
micfunpred_0.7_97	968	220	7432	748	223	49.66139954853273	9.144254278728607	22.727272727272727	31.183557760453578	59.907072026601746
micfunpred_1_95	1195	316	7296	879	319	49.76377952755905	10.752293577981652	26.443514644351463	34.53551912568305	61.12720709236614
micfunpred_1_75	1462	318	7031	1144	321	49.76525821596244	13.99388379204893	21.751025991792066	30.271299381247022	58.692433561728464
micfunpred_0.7_98	944	215	7448	729	218	49.65357967667436	8.915250091720681	22.77542372881356	31.22730573710966	59.96584909373106
micfunpred_0.6_85	1424	321	7081	1103	324	49.76744186046512	13.477517106549364	22.542134831460675	31.029482841952635	59.08335640965336
micfunpred_0.8_96	1065	240	7358	825	243	49.68944099378882	10.081877062202127	22.535211267605636	31.0077519379845	59.669131748787684
micfunpred_0.85_80	1110	299	7371	811	302	49.750415973377706	9.9120019555121	26.936936936936938	34.95032144944477	61.50052894025264
micfunpred_0.85_98	813	205	7567	608	208	49.63680387409201	7.437308868501528	25.21525215252153	33.442088091354	61.27000549748263
micfunpred_0.7_85	1339	315	7159	1024	318	49.763033175355446	12.513748014175729	23.52501867064974	31.947261663286	59.6359880032398
micfunpred_0.75_99	932	226	7471	706	229	49.67032967032967	8.633973339855693	24.248927038626608	32.58832011535688	60.63745053230032
micfunpred_0.9_90	992	268	7454	724	271	49.721706864564005	8.853020298361457	27.016129032258064	35.00979751796211	61.75401920868566
micfunpred_0.95_99	837	238	7573	599	241	49.68684759916493	7.329906999510524	28.43488649940263	36.170212765957444	62.67533933365319
