Combination	Total	TP	TN	FP	FN	Recall	FPR	Precision	F1score	Balanced_accuracy
micfunpred_0.9_75	2268	1425	5651	843	1432	49.877493874693734	12.981213427779489	62.83068783068783	55.609756097560975	71.30663291717929
micfunpred_0.5_80	2517	1444	5428	1073	1451	49.87910189982729	16.505153053376404	57.36988478347239	53.3628972653363	68.13835131745213
micfunpred_0.75_97	2362	1463	5599	899	1470	49.88066825775656	13.83502616189597	61.93903471634208	55.25967894239848	70.57200710212351
micfunpred_0.9_98	1539	1060	6011	479	1067	49.835448989186645	7.380585516178736	68.87589343729694	57.82869612656847	76.90050676385897
micfunpred_0.9_85	2268	1425	5651	843	1432	49.877493874693734	12.981213427779489	62.83068783068783	55.609756097560975	71.30663291717929
micfunpred_1_85	2147	1242	5590	905	1249	49.85949417904456	13.933795227097768	57.84816022356777	53.557567917205695	69.7926281451221
micfunpred_0.6_99	1873	1208	5833	665	1215	49.855550969872056	10.23391812865497	64.49546182594767	56.23836126629423	73.62826439765033
micfunpred_1_99	1622	1040	5905	582	1047	49.83229516051749	8.971789733312779	64.11837237977805	56.079805877595035	74.52897905525151
micfunpred_0.95_95	2088	1319	5722	769	1326	49.86767485822306	11.84717300878139	63.17049808429118	55.736319459116835	72.17832509208884
micfunpred_1_98	1596	1029	5920	567	1036	49.83050847457628	8.740558039155232	64.47368421052632	56.214149139579355	74.79003359462486
micfunpred_0.8_80	2370	1451	5579	919	1458	49.87968374011688	14.142813173284088	61.22362869198312	54.972532676643304	70.25228613794836
micfunpred_1_90	2162	1250	5583	912	1257	49.8603909054647	14.041570438799075	57.816836262719704	53.54465624330692	69.71982164013178
micfunpred_0.8_97	2328	1453	5623	875	1460	49.879848952969446	13.465681748230224	62.41408934707904	55.447433695859566	70.90067731507558
micfunpred_0.6_80	2586	1539	5454	1047	1546	49.886547811993516	16.105214582371943	59.51276102088167	54.27614177393757	68.71352336758369
micfunpred_1_97	2073	1229	5650	844	1236	49.85801217038539	12.996612257468431	59.28605885190545	54.164830321727635	70.66829808700413
micfunpred_0.95_80	2136	1332	5687	804	1339	49.86896293523025	12.386381143121245	62.35955056179775	55.419180361972124	71.65088259658347
micfunpred_0.7_90	2485	1499	5513	986	1506	49.88352745424292	15.171564856131711	60.32193158953723	54.60837887067395	69.43294185973514
micfunpred_0.7_95	2447	1497	5549	950	1504	49.88337220926358	14.617633482074165	61.17695136902329	54.95594713656387	69.92634609426635
