Tool,Data,Percent_identity,Sample,TP,FP,TN,FN,TPR,FPR,Precision,F1_score,BA
PICRUSt2,indian,97,HAL,3797,1061,4957,3819,49.855567226890756,17.6304420073114,78.15973651708522,60.878627545294215,67.32166406528827
PICRUSt2,indian,97,HAA,3854,1004,4937,3891,49.76113621691414,16.89951186668911,79.33305887196377,61.16004126001746,67.62869527195832
PICRUSt2,indian,97,HBE,3976,922,4879,4002,49.837051892704935,15.893811411825547,81.17599020008167,61.7583100341721,68.05674861878872
PICRUSt2,indian,97,C25_M,3529,1244,5056,3551,49.84463276836158,19.746031746031743,73.93672742509952,59.54610647093563,66.339805562207
PICRUSt2,indian,97,HDF,2858,1984,5040,2875,49.85173556602128,28.246013667425967,59.02519619991738,54.05200945626478,61.35087984348364
PICRUSt2,indian,97,HBG,3260,1408,5128,3283,49.824239645422594,21.542227662178703,69.83718937446443,58.15716706805816,65.40248483109146
PICRUSt2,indian,97,C24_M,2831,2095,4921,2855,49.78895532887795,29.860319270239454,57.47056435241576,53.35469280060308,60.37751468649595
PICRUSt2,indian,97,HM,3752,1394,4687,3775,49.847216686594926,22.923861207038314,72.91099883404586,59.21249901365107,64.14989790437818
PICRUSt2,indian,97,HAT,3630,1290,4947,3651,49.855789039967036,20.683020683020683,73.78048780487805,59.50331940004918,65.65856211597705
PICRUSt2,indian,97,HBY,2634,2351,4932,2647,49.876917250520734,32.280653576822736,52.83851554663992,51.315020455873764,58.95653182002797
PICRUSt2,indian,97,HAX,3163,1463,5141,3184,49.83456751221049,22.153240460327076,68.37440553393861,57.650596919712015,65.06407964384617
PICRUSt2,indian,97,HCQ,3383,1504,4965,3402,49.85998526160649,23.249343020559593,69.2244730918764,57.96778615490062,64.2823692099755
PICRUSt2,indian,97,HCL,2365,2610,4921,2377,49.87347110923661,34.65675209135573,47.537688442211056,48.67757538334877,57.48356058175228
